time,traj,ipca1,ipca2
17.5,14,2.9491264219480136,-4.317771574357328
17.5,15,3.8507316493117467,-6.164542430675115
17.5,16,4.3259570578248345,-4.711865958276206
17.5,17,-0.10714312672523708,-3.3301611811824676
17.5,18,2.675035593416163,-4.960353794121217
17.5,19,3.5278557710215264,-3.8392328967526144
17.5,20,5.312273710461586,-4.561777398348958
17.5,21,1.8793136478078407,-6.070909834830495
17.5,22,2.410002627318989,-4.206238854718647
17.5,23,4.431861000014659,-6.3501523225951315
17.5,24,5.578389761779015,-4.583836483994188
17.5,25,1.689295085722607,-1.1620927798555287
17.5,26,3.038399433755706,-5.171787078772774
17.5,27,4.2566027454345505,-3.119923808329156
17.5,28,2.374113218867874,-3.249226237504488
17.5,29,3.2559574007825955,-4.648664478122501
17.5,30,2.585908410441051,-4.837299431280011
17.5,31,4.3978644774477464,-3.0840973522721233
17.5,32,3.6915066884317813,-1.5992012411049448
17.5,33,1.8165719151118827,-2.88133467495005
17.5,34,1.9084655087879243,-0.33752488186885543
17.5,35,2.3145171269861677,-5.152586543954761
17.5,36,3.519695863624362,-0.36611388470511613
17.5,37,1.394775353761688,-4.527830362427845
17.5,38,2.1559166747646383,-5.600979199494313
17.5,39,3.281259764665856,-4.750290932553005
17.5,40,1.9505577852672376,-2.076630199496112
17.5,41,4.425339354061934,-3.5818816870115753
17.5,42,4.4677284334604375,-6.083344142043629
17.5,43,2.086635300002434,-3.0460993583266798
17.5,44,1.9749397405023117,-1.6300247743416245
17.5,45,0.9370308424585467,-6.395766113697868
17.5,46,2.1072644721061646,-3.92429248866002
17.5,47,4.7570230126769895,-3.5689749575832357
17.5,48,5.7044907426206395,-6.4599308103446536
17.5,49,5.410276524872294,-4.026043301370964
17.5,50,1.0992798236074044,-3.255332300926601
17.6,1,4.816529049175917,-3.039360496920746
17.6,2,1.6318433523848324,-6.430281756230769
17.6,3,4.2410925905373125,-2.10993320766405
17.6,4,2.850359816144786,-4.331077898876879
17.6,5,3.6517788345955684,-3.946470661371645
17.6,6,4.01802494394173,-2.733459751877973
17.6,7,3.5813696524895775,-4.912301312470059
17.6,8,3.8680577884423553,-4.888531037486415
17.6,9,4.899745688224796,-3.856570021966547
17.6,10,2.5510641603628312,-2.6767854273368217
17.6,11,3.499658591521745,-0.9452982147080436
17.6,12,4.202276711594658,-4.3698643468158265
17.6,13,3.810718776619729,-1.1369366830951202
17.6,14,3.0104080837121834,-4.327544737844772
17.6,15,3.9551993129139285,-6.124244615805085
17.6,16,4.326524559950723,-4.64855902440838
17.6,17,0.007586216783655156,-3.339875530409726
17.6,18,2.7036698238184846,-4.95303829928619
17.6,19,3.597817763461413,-3.862349434749762
17.6,20,5.281704264920011,-4.4705707439819395
17.6,21,1.9185676303848727,-6.025949279959649
17.6,22,2.453599797418559,-4.161268066246094
17.6,23,4.494795176422988,-6.27705752623197
17.6,24,5.603923963752101,-4.509274675028205
17.6,25,1.6011788790893489,-1.1113125664927987
17.6,26,3.0675815689634605,-5.2054784737363144
17.6,27,4.375462890818968,-3.084290615070059
17.6,28,2.378754502981177,-3.1858397851763134
17.6,29,3.239603867603299,-4.63073973618596
17.6,30,2.616732230697312,-4.796034232380601
17.6,31,4.470200076551283,-3.0619839674739238
17.6,32,3.7047840888024193,-1.4447010870853738
17.6,33,1.8509454839119528,-2.80040384405838
17.6,34,1.9965843890770527,-0.2942836376004441
17.6,35,2.361957470758326,-5.144381670646228
17.6,36,3.566737601234146,-0.306877576081715
17.6,37,1.4473948136836183,-4.515488530808706
17.6,38,2.1448909541024443,-5.594243561990548
17.6,39,3.329511413183495,-4.786187277713956
17.6,40,1.9532370653359707,-1.9959013514458932
17.6,41,4.517694751711948,-3.5371746665418815
17.6,42,4.4444925582675365,-6.033500379866759
17.6,43,2.1318639684233585,-2.9525149737254046
17.6,44,2.1233146135651437,-1.585564619351263
17.6,45,0.9678399544989682,-6.343259507433349
17.6,46,2.1982005433790093,-3.917610083296684
17.6,47,4.859508066566596,-3.484065644497852
